,time_s,well,pt_fluor,concentration,fold_dilution,media,name,replicate,plate,date,blanked_pt_fluor,u_blanked_pt_fluor
279,420.092,F10,65,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,0.7152777777777715,4.018598709330847
281,140.037,F11,63,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-1.2847222222222285,4.018598709330847
282,280.06,F11,67,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,2.7152777777777715,4.018598709330847
283,420.092,F11,60,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-4.2847222222222285,4.018598709330847
285,140.037,F12,64,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-0.28472222222222854,4.018598709330847
286,280.06,F12,66,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,1.7152777777777715,4.018598709330847
287,420.092,F12,63,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-1.2847222222222285,4.018598709330847
289,140.037,G1,93,7.8515625,64,25 mM HEPES pH 7,PYO,1,1,9/29/22,28.71527777777777,4.018598709330847
290,280.06,G1,99,7.8515625,64,25 mM HEPES pH 7,PYO,1,1,9/29/22,34.71527777777777,4.018598709330847
291,420.092,G1,97,7.8515625,64,25 mM HEPES pH 7,PYO,1,1,9/29/22,32.71527777777777,4.018598709330847
293,140.037,G2,96,7.8515625,64,25 mM HEPES pH 7,PYO,2,1,9/29/22,31.71527777777777,4.018598709330847
294,280.06,G2,97,7.8515625,64,25 mM HEPES pH 7,PYO,2,1,9/29/22,32.71527777777777,4.018598709330847
