name,well,plate,date,rtdp_fluor,concentration,fold_dilution,replicate,blanked_rtdp_fluor,expected_blanked_rtdp_fluor,estimated_true_rtdp_fluor,F0_F_ratio,F_F0_ratio,u_blanked_rtdp_fluor,u_expected_blanked_rtdp_fluor,u_estimated_true_rtdp_fluor,u_F0_F_ratio,u_F_F0_ratio
EC WT,F2,1,5/27/22,3655.25,0.45045045,2.0,1.0,3654.1822916666665,4051.523601726727,3637.351398273273,1.1092391871317924,0.9015188172225894,18.411412794060602,161.84886398127614,18.830445053232026,0.044865156235311114,0.03646353559537447
EC WT,F3,1,5/27/22,3600.25,0.225225225,4.0,1.0,3599.1822916666665,4043.1902683933936,3590.6847316066064,1.12365551695987,0.8899524675547993,8.184138383073593,161.84907292670044,8.324057468698213,0.045149640131728605,0.035759210040774515
EC WT,F4,1,5/27/22,3752.75,0.112612613,8.0,1.0,3751.6822916666665,4039.58666478979,3746.78833521021,1.0768403089167222,0.9286428003479719,25.74840035950382,161.84907292670044,25.828119067093986,0.04382965258240791,0.03779770405637157
EC WT,G1,1,5/27/22,3241.75,0.900900901,1.0,2.0,3240.6822916666665,4062.334412537538,3213.040587462462,1.2557241648540087,0.796353234244131,36.05061424913535,161.84886398127614,36.46047780382989,0.05234894805051261,0.033198575974008125
EC WT,G2,1,5/27/22,3609.75,0.45045045,2.0,2.0,3608.6822916666665,4050.847926051051,3592.527073948949,1.12307927686634,0.8904090927492131,20.12411789553272,161.84990870570016,20.651377495755458,0.04551154091493943,0.03608284000107389
EC WT,G3,1,5/27/22,3737.5,0.225225225,4.0,2.0,3736.4322916666665,4043.640718843844,3727.484281156156,1.082417095286017,0.923858283793791,19.193665302384662,161.84823714338478,19.19202846224635,0.04377639555026635,0.03736377209846316
EC WT,G4,1,5/27/22,3818.75,0.112612613,8.0,2.0,3817.6822916666665,4039.1362143393394,3813.2387856606606,1.0580750210307917,0.9451125677513735,12.922078821664005,161.84823714338478,12.919647434392571,0.042594853038905936,0.038047331359712014
EC WT,H1,1,5/27/22,3242.5,0.900900901,1.0,2.0,3241.4322916666665,4061.883962087087,3214.241037912913,1.2552551786698487,0.7966507663084617,26.865035288889878,161.84886398127614,26.917891784833724,0.051439044559209675,0.032645915318742995
EC WT,H2,1,5/27/22,3522.0,0.45045045,2.0,2.0,3520.9322916666665,4050.622700825826,3505.002299174174,1.1511241260195355,0.8687160466855067,15.771180078652911,161.84886398127614,16.1146208844058,0.04647861237670657,0.03507590144855966
EC WT,H3,1,5/27/22,3680.75,0.225225225,4.0,2.0,3679.6822916666665,4043.640718843844,3670.734281156156,1.0991513956882062,0.9097927764299247,14.247109218129074,161.84823714338478,14.244903995078648,0.044297312665733675,0.03666589992665078
EC WT,H4,1,5/27/22,3737.0,0.112612613,8.0,2.0,3735.9322916666665,4039.58666478979,3731.03833521021,1.0813860233644625,0.9247391573350927,28.903231441137635,161.84907292670044,29.24763780421537,0.044199347452412725,0.037796740881428634
MM4,E1,2,5/27/22,3269.25,0.900900901,1.0,1.0,3268.1822916666665,4034.631709834835,3268.243290165165,1.2345141870174037,0.8100352434312708,17.766451185871773,161.84823714338478,17.76468284252983,0.04997398804727049,0.03279078685268401
