,index,time_s,well,rtdp_fluor,concentration,fold_dilution,media,name,replicate,plate,date,blanked_rtdp_fluor,u_blanked_rtdp_fluor
259,259,224.037,F5,3,0.0625,16,MM noC,PA14 dphz,1,1,12/3/21,1.9861111111111112,0.11785113019775789
261,261,74.668,F6,1,0.03125,32,MM noC,PA14 dphz,1,1,12/3/21,-0.01388888888888884,0.11785113019775789
262,262,149.35,F6,2,0.03125,32,MM noC,PA14 dphz,1,1,12/3/21,0.9861111111111112,0.11785113019775789
263,263,224.037,F6,2,0.03125,32,MM noC,PA14 dphz,1,1,12/3/21,0.9861111111111112,0.11785113019775789
265,265,74.668,F7,16,1.0,1,MM noC,PA14 dphz dside,1,1,12/3/21,14.98611111111111,0.11785113019775789
266,266,149.35,F7,16,1.0,1,MM noC,PA14 dphz dside,1,1,12/3/21,14.98611111111111,0.11785113019775789
267,267,224.037,F7,16,1.0,1,MM noC,PA14 dphz dside,1,1,12/3/21,14.98611111111111,0.11785113019775789
269,269,74.668,F8,9,0.5,2,MM noC,PA14 dphz dside,1,1,12/3/21,7.986111111111111,0.11785113019775789
270,270,149.35,F8,9,0.5,2,MM noC,PA14 dphz dside,1,1,12/3/21,7.986111111111111,0.11785113019775789
271,271,224.037,F8,9,0.5,2,MM noC,PA14 dphz dside,1,1,12/3/21,7.986111111111111,0.11785113019775789
273,273,74.668,F9,5,0.25,4,MM noC,PA14 dphz dside,1,1,12/3/21,3.986111111111111,0.11785113019775789
274,274,149.35,F9,5,0.25,4,MM noC,PA14 dphz dside,1,1,12/3/21,3.986111111111111,0.11785113019775789
275,275,224.037,F9,5,0.25,4,MM noC,PA14 dphz dside,1,1,12/3/21,3.986111111111111,0.11785113019775789
277,277,74.668,F10,3,0.125,8,MM noC,PA14 dphz dside,1,1,12/3/21,1.9861111111111112,0.11785113019775789
278,278,149.35,F10,3,0.125,8,MM noC,PA14 dphz dside,1,1,12/3/21,1.9861111111111112,0.11785113019775789
279,279,224.037,F10,4,0.125,8,MM noC,PA14 dphz dside,1,1,12/3/21,2.986111111111111,0.11785113019775789
281,281,74.668,F11,2,0.0625,16,MM noC,PA14 dphz dside,1,1,12/3/21,0.9861111111111112,0.11785113019775789
